,School,Director of admissions,Application fee,Admissions phone,Admissions email,Application URL,Website,Virtual Tour URL,TOEFL and/or IELTS required for international students,Minimum TOEFL score required,Minimum IELTS score required,Acceptance rate (postbaccalaureate certificate),ApplicationsPostbaccalaureate,Percent of new entrants providing GPA scoresPostbaccalaureate,Average undergraduate GPAPostbaccalaureate,Percent of new entrants providing verbal GRE scoresPostbaccalaureate,Percent of new entrants providing quantitative GRE scoresPostbaccalaureate,Percent of new entrants providing writing GRE scoresPostbaccalaureate,Average GRE scorePostbaccalaureate,Average GRE analytical writing scorePostbaccalaureate,GRE policyPostbaccalaureate,Acceptance rate (master's),Applications(Master's),Percent of new entrants providing GPA scores(Master's),Average undergraduate GPA(Master's),Percent of new entrants providing verbal GRE scores(Master's),Percent of new entrants providing quantitative GRE scores(Master's),Percent of new entrants providing writing GRE scores(Master's),Average GRE score(Master's),Average GRE analytical writing score(Master's),GRE policy(Master's),Acceptance rate (education specialist),Enrollment,Applications(Education Specialist),Percent of new entrants providing GPA scores(Education Specialist),Average undergraduate GPA(Education Specialist),Percent of new entrants providing verbal GRE scores(Education Specialist),Percent of new entrants providing quantitative GRE scores(Education Specialist),Percent of new entrants providing writing GRE scores(Education Specialist),Average GRE score(Education Specialist),Average GRE analytical writing score(Education Specialist),GRE policy(Education Specialist),Degree programs offered,Categories of study offered to education specialist students,Any programs in education offered off campus,Offers online program in education,Certificate program graduates,Master's program graduates,Education specialist program graduates,Doctoral program graduates,Full-time faculty (tenured or tenure-track),Full-time faculty (nontenured or tenure track),Part-time faculty,Full-time faculty with doctoral degrees,Full-time tenured or tenure-track faculty who received awards or were editors of educational journals during 2020 and 2021,Total enrollment,Total enrollment (full-time),Minority students,International students,Student diversity (full-time),Financial aid director,Financial aid phone,"Tuition (postbaccalaureate, full-time)","Tuition (postbaccalaureate, part-time)","Tuition (master's, full-time)","Tuition (master's, part-time)","Tuition (education specialist, full-time)","Tuition (education specialist, part-time)","Tuition (doctoral, full-time)","Tuition (doctoral, part-time)",Room and board,Type of education school,Memberships,School accredited by the National Council for Accreditation of Teacher Education (NCATE),School accredited by the Teacher Education Accreditation Council (TEAC),School accredited by the Council for Accreditation of Education Preparation (CAEP),Initial teacher preparation levels offered,Total students in certificate-level teacher training programs,Total students in master's teacher training programs,Total students in education specialist degree teacher training programs,Total graduate students in teacher training programs,Number of certificate programs completed,Number of teacher training master's degrees awarded,Number of teacher training education specialist degrees awarded,Number of full-time tenured or tenure-track faculty involved in teacher training programs,Are professional development/partnership schools used in teaching programs?,Are students in internships or doing practice teaching assigned to peer working groups?,Are students in internship/practice teaching programs mentored?,Students who took an assessment to become a certified or licensed teacher during 2020-2021,Number of these students who passed the assessment,Number of 2021 graduates licensed to teach,Number of 2021 graduates who accepted teaching positions for fall 2021,Number of 2019 graduates licensed to teach,Number of 2019 graduates who accepted teaching positions for fall 2018,Number of these 2019 graduates who were still employed as teachers in fall 2021,Application deadlines,Advanced teacher preparation levels offered,"Of students reporting specialty information, percent specializing in",Programs/courses offered in,Categories of study offered to master's students,Gender distribution (full-time)
0,University of Pennsylvania, Leslie Levin, $0, (215) 898-6415, admissions@gse.upenn.edu, Website, Website, Website, Yes, N/A, N/A, 75%, 40, 94%, 3.45, N/A, N/A, N/A, N/A, N/A, N/A, 48.4%," 3,511", 96%, 3.53, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Post-baccalaureate certificate, master's, Ph.D., Ed.D.", N/A, No, Yes, 19, 672, N/A, 28, 70, 28, 312, 100%, 25.7%," 1,447"," 1,177", N/A, N/A, N/A, Jason Cronk, (215) 898-6415, N/A, N/A," $1,736 per credit"," $1,736 per credit", N/A, N/A," $1,736 per credit"," $1,736 per credit", N/A, Graduate school of education," CADREI (Council of Academic Deans from Research Education Institutions), Holmes Partnership", N/A, N/A, N/A," Licensure only at baccalaureate level, Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", 26, 204, N/A, 230, 18, 136, N/A, 8," Yes, used in some teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 95, 94, 114, N/A, 104, N/A, N/A,,,,,,
1,Harvard University, Julia Deland, $85, (617) 495-3414, gseadmissions@harvard.edu, Website, Website, Website, Yes,, 7.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 39.4%," 2,222", 79%, 3.55, 32%, 32%, 32%,, 4.6, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Master's, Ph.D.", N/A, No, N/A, N/A, 642, N/A, 22, 42, 37, 98, 100%, 9.5%," 1,102", 746, N/A, N/A, N/A, Frank Arce, (617) 495-3416, N/A, N/A," $51,904 per year"," $25,952 per year", N/A, N/A, N/A, N/A," $21,130", Graduate school of education, CADREI (Council of Academic Deans from Research Education Institutions), N/A, N/A, N/A, Master's program(s), N/A, 37, N/A, 37, N/A, 15, N/A, N/A," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", N/A, N/A, 9, N/A, 87, 44, N/A,,,,,,
2,University of California--Los Angeles, Amy Gershon, $120, (310) 825-8326, info@gseis.ucla.edu, Website, Website, Website, Yes,, 7, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 44.3%, 700, 100%, 3.79, 6%, 6%, 6%,, 4.1, N/A, N/A,, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, master's, Ph.D., Ed.D.", N/A, No, No, N/A, 184, N/A, 55, 43, 18, 47, 100%, 14%, 725, 725, N/A, N/A, N/A, Ina Sotomayor, (310) 206-0400, N/A, N/A,, N/A, N/A, N/A,, N/A," $21,663", School of education with undergraduate and graduate divisions, AACTE (American Associate of Colleges for Teacher Education), N/A, N/A, N/A," Licensure only at baccalaureate level, Five-year combined undergraduate/graduate program(s), Master's program(s)", N/A, 204, N/A, 204, N/A, 93, N/A, 6," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 95, 95, 93, 93, 136, 136, 122,,,,,,
3,New York University (Steinhardt), John S. Myers, $75, (212) 998-5030, steinhardt.gradadmissions@nyu.edu, Website, Website, Website, Yes,, 7, 71.4%, 7, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 64.1%," 2,571", 87%, 3.5, 28%, 28%, 28%,, 4, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ph.D., Ed.D.", N/A, No, Yes, 29, 987, N/A, 68, 75, 27, 282, 100%, 10.7%," 1,946"," 1,526", N/A, N/A, N/A, Brian Berry, (212) 998-4444," $46,608 per year"," $1,942 per credit"," $46,608 per year"," $1,942 per credit", N/A, N/A," $46,608 per year"," $1,942 per credit"," $27,420", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", N/A, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", 1, 390, N/A, 391, 2, 210, N/A, 21," Yes, used in some teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 93, 91, 262, N/A, 266, N/A, N/A,,,,,,
4,University of Wisconsin--Madison, Judy Bauman, $75, (608) 262-0735, admissions@grad.wisc.edu, Website, Website, Website, Yes,, 7, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 43.1%, 534, 99%, 3.43, 13%, 13%, 13%,, 4, N/A, 31%, N/A, 84, 100%, 3.55, 39%, 39%, 39%,, 4.4, N/A," Bachelor's, master's, education specialist, Ph.D.",, Yes, Yes, N/A, 274, N/A, 69, 124, 0, 0, 100%, 38.7%," 1,113", 750, N/A, N/A, N/A, Helen Faith, (608) 262-3060, N/A, N/A,,,,,,," $14,122", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", No, No, No," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Master's program(s)", N/A, 138, N/A, 138, N/A, 80, N/A, 32," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 213, 205, 214, 188, 176, 144, N/A,,,,,,
5,Vanderbilt University (Peabody), Kim Brazil, $0, (615) 322-8410, peabody.admissions@vanderbilt.edu, Website, Website, N/A, Yes,, 7, 100%, 2, 100%, 3.74, 100%, 100%, 100%,, 4.5, N/A, 65%," 1,390", 99%, 3.52, 35%, 35%, 35%,, 4.3, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, master's, Ph.D., Ed.D.", N/A, Yes, Yes, 1, 314, 0, 53, 86, 90, 92, 100%, 22.1%," 1,019", 868, N/A, N/A, N/A, Jacci Rodgers, (615) 322-8410, N/A," $2,096 per credit"," $2,096 per credit"," $2,096 per credit", N/A, N/A," $2,150 per credit"," $2,150 per credit"," $18,600", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", N/A, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", 1, 118, N/A, 119, 1, 61, N/A, 31," Yes, used in some teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 96, 94, 96, 77, 96, 65, 58, N/A,,,,,
6,"Teachers College, Columbia University", Kate W. Brittain, $65, (212) 678-3710, admission@tc.columbia.edu, Website, Website, Website, Yes,, 7, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 51%," 6,755", 93%, 3.53, 38%, 38%, 38%,, 4.2, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Master's, Ph.D., Ed.D.", N/A, Yes, Yes, N/A," 1,672", N/A, 185, 135, 88, 124, 100%, 29.6%," 4,820"," 3,163", N/A, N/A, N/A, Thomas Zarkos, (212) 678-3714, N/A, N/A," $1,839 per credit"," $1,839 per credit", N/A, N/A," $1,839 per credit"," $1,839 per credit"," $27,929", Graduate school of education," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", N/A, N/A, N/A, Master's program(s), N/A, 782, N/A, 782, N/A, 357, N/A, 90," Yes, used in some teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 134, 133, 294, N/A, 347, N/A, N/A,,,,,,
7,University of Michigan--Ann Arbor, Deb Peffer, $75, (734) 615-1528, ed.grad.admit@umich.edu, Website, Website, N/A, Yes,, N/A, 100%, 1, 100%, 3.26, N/A, N/A, N/A, N/A, N/A, N/A, 89.4%, 545, 99%, 3.5, 30%, 30%, 30%,, 4, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ph.D.", N/A, Yes, No, 33, 170, N/A, 38, 39, 7, 0, 100%, 59%, 530, 474, N/A, N/A, N/A, Deb Peffer, (734) 615-1528,, N/A,,, N/A, N/A, N/A,," $16,998", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", N/A, Yes, Yes," Four-year undergraduate program(s) (bachelor's), Licensure only at baccalaureate level, Post-baccalaureate, non-degree, Master's program(s)", 103, 77, N/A, 180, 33, 88, N/A, 15," Yes, used in some teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 202, 192, 121, N/A, 123, N/A, N/A, N/A,,,,,
8,Stanford University, Loida Feliz, $125, (650) 723-4794, gseadmissions@stanford.edu, Website, Website, N/A, Yes,, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 9%," 1,604", 100%, 3.6, 38%, 38%, 38%,, 4.4, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Master's, Ph.D.", N/A, No, No, N/A, 122, N/A, 21, 51, 7, 0, 100%, 43.1%, 316, 316, N/A, N/A, N/A, Loida Feliz, (650) 723-0555, N/A, N/A," $54,315 per year", N/A, N/A, N/A," $54,315 per year", N/A," $22,980", Graduate school of education, AACTE (American Associate of Colleges for Teacher Education), N/A, N/A, N/A, Master's program(s), N/A, 58, N/A, 58, N/A, 63, N/A, 14," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 50, 46, 63, 61, 87, 85, 85,, N/A,,,,
9,University of California--Irvine, Ph.D. Program Manager, $90, (949) 824-5910, gseinfo@uci.edu, Website, Website, N/A, Yes,, 7, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 47.3%, 480, 100%, 3.52, 2%, 2%, 2%,, 4.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, master's, Ph.D.", N/A, No, No, N/A, 131, N/A, 16, 32, 3, 53, 100%, 53.1%, 245, 244, N/A, N/A, N/A, Rebecca Lynn Sanchez, (949) 824-5337, N/A, N/A,, N/A, N/A, N/A,, N/A," $13,980", School of education with undergraduate and graduate divisions, N/A, N/A, N/A, N/A, Master's program(s), N/A, 138, N/A, 138, N/A, 131, N/A, 6," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 161, 159, N/A, N/A, N/A, N/A, N/A, N/A, N/A,,,,
