,School,Director of admissions,Application deadline (master's),Application deadline (PhD),Application fee (U.S. residents),Application fee (international students),Admissions phone,Admissions email,Application URL,Website,Virtual Tour URL,Acceptance rate (master's),Acceptance rate (Ph.D.),Percent of new entrants providing GPA scores(Master's),Average undergraduate GPA(Master's),Percent of new entrants providing verbal GRE scores(Master's),Percent of new entrants providing quantitative GRE scores(Master's),Average GRE analytical writing score(Master's),Percent of new entrants providing GPA scores(Doctoral),Average undergraduate GPA(Doctoral),Percent of new entrants providing verbal GRE scores(Doctoral),Percent of new entrants providing quantitative GRE scores(Doctoral),Average GRE analytical writing score(Doctoral),TOEFL and/or IELTS required for international students,Minimum TOEFL score required,Minimum IELTS score required,Total graduate engineering enrollment,Enrollment (full-time master's),Enrollment (part-time master's),Enrollment (full-time Ph.D.),Enrollment (part-time Ph.D.),Total graduates,Total master's graduates,International master's graduates,Minority master's graduates,Female master's graduates,Total Ph.D. graduates,International Ph.D. graduates,Minority Ph.D. graduates,Female Ph.D. graduates,Full-time faculty (tenured or tenure-track),Full-time faculty (nontenured or nontenure track),Part-time faculty,Full-time faculty elected to the National Academy of Engineering,Total graduate engineering enrollment(Student Body),Enrollment (master's),Minority students (master's),International students (master's),Enrollment (Ph.D.),Minority students (Ph.D.),International students (Ph.D.),Financial aid director,Financial aid phone,"Tuition (master's, full-time)","Tuition (master's, part-time)","Tuition (doctoral, full-time)","Tuition (doctoral, part-time)",Room and board,Score,Peer assessment score (out of 5),Recruiter assessment score (out of 5),Overall acceptance rate,Average GRE quantitative score (master's and Ph.D. students),Ph.D. student/faculty ratio,Ph.D.s granted,Engineering school research expenditures (2021 fiscal year),Research expenditures per faculty member (2021 fiscal year),Faculty membership in National Academy of Engineering,Total graduate engineering enrollment(Ranking),Mean TOEFL score of entering students,Average GRE score(Master's),Average GRE score(Doctoral),Student diversity (master's),Student diversity (Ph.D.),Countries most represented by international students(Student Body),Applicants (master's),Applicants (Ph.D.),Gender distribution of enrolled (master's),Gender distribution of enrolled (Ph.D.)
0,Massachusetts Institute of Technology, Stuart Schmill, N/A, N/A, $75, $75, (617) 324-6730, gradadmissions@mit.edu, Website, Website, N/A, 14.8%, 7%, N/A, N/A, 13%, 13%, 4.3, N/A, N/A, 26%, 26%, 4.6, No, N/A, N/A," 3,287"," 1,077", 0," 2,204", 6," 1,096", 795, 32.1%, 28.7%, 36.4%, 301, 52.2%, 17.6%, 25.6%, 395, 0, 4, 54," 3,287"," 1,077", 32.8%, 32.3%," 2,204", 23.4%, 41.7%, Stuart Schmill, (617) 258-8600," $55,510 per year", N/A," $55,510 per year", N/A," $29,300", 100, 4.9, 4.8, 8.8%, 166, 5.6:1, 301," $438,585,000"," $1,133,295", 13.7%," 3,287",,,,,,,,,,
1,Stanford University, Laura Remillard, 12/01, 11/30, $125, $125, (866) 432-7472, gradadmissions@stanford.edu, Website, Website, Website, 13.6%, 9%, N/A, N/A, 100%, 100%, 4.3, N/A, N/A, 100%, 100%, 4.5, Yes,, N/A," 3,474"," 1,394", 225," 1,847", 8," 1,436"," 1,097", 36.3%, 36.9%, 35.8%, 339, 43.4%, 24.2%, 29.2%, 283, 6, 1, 44," 3,474"," 1,394", 32.7%, 45.4%," 1,847", 30.4%, 41.5%, Karen Cooper, (650) 723-3058," $57,861 per year", N/A," $57,861 per year", N/A," $22,980", 90, 4.8, 4.7, 11.7%, 167, 6.5:1, 339," $205,962,608"," $720,149", 15.5%," 3,474", N/A,,,,,,,,,
2,University of California--Berkeley, Beatriz Galvez, 01/06, 12/01, $120, $140, (510) 643-7462, gradadm@berkeley.edu, Website, Website, Website, 25.2%, 9.5%, 80%, 3.7, 21%, 21%, 3.8, 82%, 3.7, 12%, 12%, 4.3, Yes,, 7," 2,907"," 1,282", 63," 1,478", 84, 969, 703, 44.7%, 6.8%, 36.7%, 266, 38.7%, 9.8%, 25.2%, 265, 0, 0, 36," 2,907"," 1,282", 24.5%, 58.8%," 1,478", 28.6%, 43.4%, Cruz Grimaldo, (510) 664-9181,, N/A,, N/A," $15,840", 84, 4.7, 4.5, 18.3%, 168, 5.6:1, 266," $243,842,005"," $937,854", 13.6%," 2,907", N/A,,,,,,,,,
3,Carnegie Mellon University, Michael Steidel, 01/31, 01/31, $75, $75, (412) 268-2082, admission@andrew.cmu.edu, Website, Website, N/A, 23%, 10.8%, 100%, 3.6, 57%, 57%, 4.1, 100%, 3.7, 43%, 43%, 4.1, Yes,, N/A," 4,574"," 2,877", 170," 1,506", 21," 1,948"," 1,708", 75.7%, 12.5%, 32.8%, 240, 56.3%, 13.8%, 26.7%, 320, 168, 0, 28," 4,574"," 2,877", 12%, 78.2%," 1,506", 18.4%, 55.2%, Michael Steidel, (412) 268-2082," $50,100 per year"," $2,088 per credit"," $45,300 per year"," $1,888 per year"," $17,232", 82, 4.4, 4.5, 19.2%, 167, 4.7:1, 240," $285,189,837"," $947,475", 8.8%," 4,574",,,,,,,,,,
4,Purdue University--West Lafayette, Dyane Roesel, N/A, N/A, $60, $75, (765) 494-2600, gradinfo@purdue.edu, Website, Website, N/A, 32.7%, 27.6%, 21%, 3.54, 42%, 42%, 3.9, 34%, 3.68, 49%, 49%, 3.9, Yes,, 6.5," 3,800"," 1,340", 152," 2,262", 46," 1,074", 683, 61.1%, 10.1%, 26.1%, 391, 69.6%, 8.4%, 26.3%, 390, 35, 132, 23," 3,800"," 1,340", 12%, 61.6%," 2,262", 9.3%, 69.5%," Melanie Morgan, Grad School Fellowship Office", (765) 494-6818,,,,," $10,030", 82, 4.3, 4.3, 31%, 164, 5.8:1, 391," $328,452,988"," $833,637", 5.9%," 3,800",,,,,,,,,,
5,University of Texas--Austin (Cockrell), Dr. Mark J.T. Smith, N/A, N/A, $65, $90, (512) 475-7391, gradus@austin.utexas.edu, Website, Website, N/A, 17.7%, 25%, 68%, 3.7, 36%, 36%, 4, 67%, 3.7, 48%, 47%, 4, Yes,, 6.5," 3,255", 608, 935," 1,600", 112, 747, 510, 47.1%, 20%, 25.3%, 237, 60.3%, 12.7%, 24.9%, 327, 34, 59, 18," 3,255", 608, 24.8%, 45.1%," 1,600", 15.7%, 57%, Diane Todd Sprague, (512) 475-6282,, N/A,, N/A," $15,392", 81, 4.2, 4.2, 20.9%, 165, 4.9:1, 237," $361,020,057"," $1,124,673", 5.5%," 3,255",,,,,,,,,,
6,California Institute of Technology, David C. Chan, 12/01, 12/01, $100, $100, (626) 395-6346, gradofc@caltech.edu, Website, Website, Website, 11.8%, 7%, 100%, 3.9, N/A, N/A, N/A, 100%, 3.9, N/A, N/A, N/A, Yes,, N/A, 514, 25, N/A, 489, N/A, 151, 74, N/A, N/A, N/A, 77, N/A, N/A, N/A, 105, 10, 21, 21, 514, 25, N/A, N/A, 489, N/A, N/A, David C. Chan, (626) 395-6346, N/A, N/A, N/A, N/A," $25,085", 80, 4.7, 4.7, 7.5%, N/A, 4.7:1, 77," $106,056,000"," $1,019,769", 20%, 514,, N/A, N/A, N/A, N/A,,,,,
7,Georgia Institute of Technology, Marla Bruner, N/A, N/A, $75, $85, (404) 894-1610, gradinfo@mail.gatech.edu, Website, Website, Website, 29.7%, 23.1%, 43%, 3.62, 44%, 44%, 4, 24%, 3.63, 52%, 52%, 4, Yes,, 7," 5,753"," 1,998", 997," 2,567", 191," 2,022"," 1,566", 50.5%, 10%, 27.2%, 456, 60.5%, 10.1%, 25.9%, 571, 89, 29, 21," 5,753"," 1,998", 22.2%, 56.2%," 2,567", 21.3%, 54.3%, Marie R. Mons, (404) 894-4160,,,,," $15,138", 80, 4.6, 4.4, 27.6%, 166, 4.5:1, 456," $300,343,000"," $524,159", 3.7%," 5,753",,,,,,,,,,
8,University of Michigan--Ann Arbor, N/A, N/A, N/A, $75, $90, (734) 647-7118, coe-studentaffairs@umich.edu, Website, Website, N/A, 44.9%, 14.5%, 87%, 3.66, 49%, 49%, 3.7, 98%, 3.73, 38%, 38%, 4, Yes, N/A, N/A," 3,776"," 1,812", 238," 1,723", 3," 1,567"," 1,292", 48.6%, 4.3%, 29%, 275, 47.6%, 10.9%, 23.6%, 396, N/A, 31, 18," 3,776"," 1,812", 18%, 57.3%," 1,723", 17.9%, 49.3%, N/A, (734) 647-7113,,,,," $16,998", 78, 4.4, 4.3, 32.4%, 166, 4.4:1, 275," $306,359,000"," $785,536", 4.5%," 3,776", N/A,,,,,,,,,
9,Texas A&M University--College Station, Dr. Duncan Walker, 05/01, 02/01, $65, $148, (979) 845-9017, easa@tamu.edu, Website, Website, Website, 38%, 42.2%, 61%, 3.45, 44%, 44%, 3.6, 80%, 3.66, 48%, 48%, 3.5, Yes,, 6," 3,704"," 1,455", 379," 1,676", 194," 1,174", 889, 64.1%, 14.1%, 23.2%, 285, 73.3%, 7.4%, 22.8%, 445, 152, 46, 30," 3,704"," 1,455", 16.2%, 60.1%," 1,676", 11.3%, 69.4%, Bridgette J. Ingram, (979) 845-3236,,,,," $12,650", 74, 3.9, 4.1, 38.9%, 163, 3.8:1, 285," $351,132,000"," $783,777", 6.7%," 3,704",,,,,,,,,,
