School,Total graduate engineering enrollment,Enrollment (full-time master's),Enrollment (part-time master's),Enrollment (full-time Ph.D.),Enrollment (part-time Ph.D.),Score,Peer assessment score (out of 5),Recruiter assessment score (out of 5),Overall acceptance rate,Average GRE quantitative score (master's and Ph.D. students),Ph.D. student/faculty ratio,Ph.D.s granted,Engineering school research expenditures (2021 fiscal year),Research expenditures per faculty member (2021 fiscal year),Faculty membership in National Academy of Engineering,Total graduate engineering enrollment(Ranking),Acceptance rate (master's),Acceptance rate (Ph.D.),Percent of new entrants providing GPA scores(Master's),Average undergraduate GPA(Master's),Percent of new entrants providing verbal GRE scores(Master's),Percent of new entrants providing quantitative GRE scores(Master's),Average GRE analytical writing score(Master's),TOEFL and/or IELTS required for international students,Minimum TOEFL score required,Minimum IELTS score required,Total graduates,Total master's graduates,International master's graduates,Minority master's graduates,Female master's graduates,Total Ph.D. graduates,International Ph.D. graduates,Minority Ph.D. graduates,Female Ph.D. graduates
Massachusetts Institute of Technology," 3,287"," 1,077", 0," 2,204", 6, 100, 4.9, 4.8, 8.8%, 166, 5.6:1, 301," $438,585,000"," $1,133,295", 13.7%," 3,287", 14.8%, 7%, N/A, N/A, 13%, 13%, 4.3, No, N/A, N/A," 1,096", 795, 32.1%, 28.7%, 36.4%, 301, 52.2%, 17.6%, 25.6%
Stanford University," 3,474"," 1,394", 225," 1,847", 8, 90, 4.8, 4.7, 11.7%, 167, 6.5:1, 339," $205,962,608"," $720,149", 15.5%," 3,474", 13.6%, 9%, N/A, N/A, 100%, 100%, 4.3, Yes,, N/A," 1,436"," 1,097", 36.3%, 36.9%, 35.8%, 339, 43.4%, 24.2%, 29.2%
University of California--Berkeley," 2,907"," 1,282", 63," 1,478", 84, 84, 4.7, 4.5, 18.3%, 168, 5.6:1, 266," $243,842,005"," $937,854", 13.6%," 2,907", 25.2%, 9.5%, 80%, 3.7, 21%, 21%, 3.8, Yes,, 7, 969, 703, 44.7%, 6.8%, 36.7%, 266, 38.7%, 9.8%, 25.2%
Carnegie Mellon University," 4,574"," 2,877", 170," 1,506", 21, 82, 4.4, 4.5, 19.2%, 167, 4.7:1, 240," $285,189,837"," $947,475", 8.8%," 4,574", 23%, 10.8%, 100%, 3.6, 57%, 57%, 4.1, Yes,, N/A," 1,948"," 1,708", 75.7%, 12.5%, 32.8%, 240, 56.3%, 13.8%, 26.7%
Purdue University--West Lafayette," 3,800"," 1,340", 152," 2,262", 46, 82, 4.3, 4.3, 31%, 164, 5.8:1, 391," $328,452,988"," $833,637", 5.9%," 3,800", 32.7%, 27.6%, 21%, 3.54, 42%, 42%, 3.9, Yes,, 6.5," 1,074", 683, 61.1%, 10.1%, 26.1%, 391, 69.6%, 8.4%, 26.3%
University of Texas--Austin (Cockrell)," 3,255", 608, 935," 1,600", 112, 81, 4.2, 4.2, 20.9%, 165, 4.9:1, 237," $361,020,057"," $1,124,673", 5.5%," 3,255", 17.7%, 25%, 68%, 3.7, 36%, 36%, 4, Yes,, 6.5, 747, 510, 47.1%, 20%, 25.3%, 237, 60.3%, 12.7%, 24.9%
California Institute of Technology, 514, 25, N/A, 489, N/A, 80, 4.7, 4.7, 7.5%, N/A, 4.7:1, 77," $106,056,000"," $1,019,769", 20%, 514, 11.8%, 7%, 100%, 3.9, N/A, N/A, N/A, Yes,, N/A, 151, 74, N/A, N/A, N/A, 77, N/A, N/A, N/A
Georgia Institute of Technology," 5,753"," 1,998", 997," 2,567", 191, 80, 4.6, 4.4, 27.6%, 166, 4.5:1, 456," $300,343,000"," $524,159", 3.7%," 5,753", 29.7%, 23.1%, 43%, 3.62, 44%, 44%, 4, Yes,, 7," 2,022"," 1,566", 50.5%, 10%, 27.2%, 456, 60.5%, 10.1%, 25.9%
University of Michigan--Ann Arbor," 3,776"," 1,812", 238," 1,723", 3, 78, 4.4, 4.3, 32.4%, 166, 4.4:1, 275," $306,359,000"," $785,536", 4.5%," 3,776", 44.9%, 14.5%, 87%, 3.66, 49%, 49%, 3.7, Yes, N/A, N/A," 1,567"," 1,292", 48.6%, 4.3%, 29%, 275, 47.6%, 10.9%, 23.6%
Texas A&M University--College Station," 3,704"," 1,455", 379," 1,676", 194, 74, 3.9, 4.1, 38.9%, 163, 3.8:1, 285," $351,132,000"," $783,777", 6.7%," 3,704", 38%, 42.2%, 61%, 3.45, 44%, 44%, 3.6, Yes,, 6," 1,174", 889, 64.1%, 14.1%, 23.2%, 285, 73.3%, 7.4%, 22.8%
